([2, 2, 13, 17, 23], [1, None, 2, 1, -77])
([2, 2, 13, 17, 19], [1, None, 2, 1, -78])
([2, 2, 13, 17, 17], [1, None, 2, 1, None])
([2, 2, 13, 19, 113], [1, None, 2, 2, -1])
([2, 2, 13, 19, 109], [1, None, 2, 2, -2])
([2, 2, 13, 19, 107], [1, None, 2, 2, -3])
([2, 2, 13, 19, 103], [1, None, 2, 2, -4])
([2, 2, 13, 19, 101], [1, None, 2, 2, -5])
([2, 2, 13, 19, 97], [1, None, 2, 2, -6])
([2, 2, 13, 19, 89], [1, None, 2, 2, -7])
([2, 2, 13, 19, 83], [1, None, 2, 2, -8])
([2, 2, 13, 19, 79], [1, None, 2, 2, -9])
([2, 2, 13, 19, 73], [1, None, 2, 2, -10])
([2, 2, 13, 19, 71], [1, None, 2, 2, -11])
([2, 2, 13, 19, 67], [1, None, 2, 2, -12])
([2, 2, 13, 19, 61], [1, None, 2, 2, -13])
([2, 2, 13, 19, 59], [1, None, 2, 2, -14])
([2, 2, 13, 19, 53], [1, None, 2, 2, -15])
([2, 2, 13, 19, 47], [1, None, 2, 2, -16])
([2, 2, 13, 19, 43], [1, None, 2, 2, -17])
([2, 2, 13, 19, 41], [1, None, 2, 2, -18])
([2, 2, 13, 19, 37], [1, None, 2, 2, -19])
([2, 2, 13, 19, 31], [1, None, 2, 2, -20])
([2, 2, 13, 19, 29], [1, None, 2, 2, -21])
([2, 2, 13, 19, 23], [1, None, 2, 2, -22])
([2, 2, 13, 23, 53], [1, None, 2, 3, -1])
([2, 2, 13, 23, 47], [1, None, 2, 3, -2])
([2, 2, 13, 23, 43], [1, None, 2, 3, -3])
([2, 2, 13, 23, 41], [1, None, 2, 3, -4])
([2, 2, 13, 23, 37], [1, None, 2, 3, -5])
([2, 2, 13, 23, 31], [1, None, 2, 3, -6])
([2, 2, 13, 23, 29], [1, None, 2, 3, -7])
([2, 2, 13, 29, 37], [1, None, 2, 4, -1])
([2, 2, 13, 29, 31], [1, None, 2, 4, -2])
([2, 2, 17, 19, 37], [1, None, 3, 3, -1])
([2, 2, 17, 19, 31], [1, None, 3, 3, -2])
([2, 2, 17, 19, 29], [1, None, 3, 3, -3])
([2, 2, 17, 19, 23], [1, None, 3, 3, -4])
([2, 2, 17, 23, 29], [1, None, 3, 4, -1])
([2, 5, 5, 17, 61], [1, 1, None, 1, -1])
([2, 5, 5, 17, 59], [1, 1, None, 1, -2])
([2, 5, 5, 17, 53], [1, 1, None, 1, -3])
([2, 5, 5, 17, 47], [1, 1, None, 1, -4])
([2, 5, 5, 17, 43], [1, 1, None, 1, -5])
([2, 5, 5, 17, 41], [1, 1, None, 1, -6])
([2, 5, 5, 17, 37], [1, 1, None, 1, -7])
([2, 5, 5, 17, 31], [1, 1, None, 1, -8])
([2, 5, 5, 17, 29], [1, 1, None, 1, -9])
([2, 5, 5, 17, 23], [1, 1, None, 1, -10])
([2, 5, 5, 19, 43], [1, 1, None, 2, -1])
([2, 5, 5, 19, 41], [1, 1, None, 2, -2])
([2, 5, 5, 19, 37], [1, 1, None, 2, -3])
([2, 5, 5, 19, 31], [1, 1, None, 2, -4])
([2, 5, 5, 19, 29], [1, 1, None, 2, -5])
([2, 5, 5, 19, 23], [1, 1, None, 2, -6])
([2, 5, 5, 23, 31], [1, 1, None, 3, -1])
([2, 5, 5, 23, 29], [1, 1, None, 3, -2])
([2, 5, 11, 11, 89], [1, 1, 1, None, -1])
