sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 32381] 30330
[3, 5, 7, 11, 389, 32401] 30092
[3, 5, 7, 11, 389, 32411] 29980
[3, 5, 7, 11, 389, 32413] 29954
[3, 5, 7, 11, 389, 32423] 29836
[3, 5, 7, 11, 389, 32429] 29758
[3, 5, 7, 11, 389, 32441] 29618
[3, 5, 7, 11, 389, 32443] 29593
[3, 5, 7, 11, 389, 32467] 29334
[3, 5, 7, 11, 389, 32479] 29196
[3, 5, 7, 11, 389, 32491] 29061
[3, 5, 7, 11, 389, 32497] 28991
[3, 5, 7, 11, 389, 32503] 28936
[3, 5, 7, 11, 389, 32507] 28891
[3, 5, 7, 11, 389, 32531] 28640
[3, 5, 7, 11, 389, 32533] 28617
[3, 5, 7, 11, 389, 32537] 28578
[3, 5, 7, 11, 389, 32561] 28315
[3, 5, 7, 11, 389, 32563] 28298
[3, 5, 7, 11, 389, 32569] 28234
[3, 5, 7, 11, 389, 32573] 28189
[3, 5, 7, 11, 389, 32579] 28134
[3, 5, 7, 11, 389, 32587] 28054
[3, 5, 7, 11, 389, 32603] 27914
[3, 5, 7, 11, 389, 32609] 27851
[3, 5, 7, 11, 389, 32611] 27832
[3, 5, 7, 11, 389, 32621] 27723
[3, 5, 7, 11, 389, 32633] 27606
[3, 5, 7, 11, 389, 32647] 27462
[3, 5, 7, 11, 389, 32653] 27409
[3, 5, 7, 11, 389, 32687] 27094
[3, 5, 7, 11, 389, 32693] 27034
[3, 5, 7, 11, 389, 32707] 26918
[3, 5, 7, 11, 389, 32713] 26860
[3, 5, 7, 11, 389, 32717] 26820
[3, 5, 7, 11, 389, 32719] 26798
[3, 5, 7, 11, 389, 32749] 26512
[3, 5, 7, 11, 389, 32771] 26318
[3, 5, 7, 11, 389, 32779] 26252
[3, 5, 7, 11, 389, 32783] 26211
[3, 5, 7, 11, 389, 32789] 26154
[3, 5, 7, 11, 389, 32797] 26083
[3, 5, 7, 11, 389, 32801] 26048
[3, 5, 7, 11, 389, 32803] 26030
[3, 5, 7, 11, 389, 32831] 25789
[3, 5, 7, 11, 389, 32833] 25774
[3, 5, 7, 11, 389, 32839] 25717
[3, 5, 7, 11, 389, 32843] 25682
[3, 5, 7, 11, 389, 32869] 25472
[3, 5, 7, 11, 389, 32887] 25320
[3, 5, 7, 11, 389, 32909] 25142
[3, 5, 7, 11, 389, 32911] 25124
[3, 5, 7, 11, 389, 32917] 25079
[3, 5, 7, 11, 389, 32933] 24951
[3, 5, 7, 11, 389, 32939] 24900
[3, 5, 7, 11, 389, 32941] 24883
[3, 5, 7, 11, 389, 32957] 24755
[3, 5, 7, 11, 389, 32969] 24655
[3, 5, 7, 11, 389, 32971] 24638
[3, 5, 7, 11, 389, 32983] 24551
[3, 5, 7, 11, 389, 32987] 24516
[3, 5, 7, 11, 389, 32993] 24464
[3, 5, 7, 11, 389, 32999] 24410
[3, 5, 7, 11, 389, 33013] 24312
[3, 5, 7, 11, 389, 33023] 24237
[3, 5, 7, 11, 389, 33029] 24189
[3, 5, 7, 11, 389, 33037] 24129
[3, 5, 7, 11, 389, 33049] 24035
[3, 5, 7, 11, 389, 33053] 24001
[3, 5, 7, 11, 389, 33071] 23859
[3, 5, 7, 11, 389, 33073] 23843
[3, 5, 7, 11, 389, 33083] 23766
[3, 5, 7, 11, 389, 33091] 23709
[3, 5, 7, 11, 389, 33107] 23596
[3, 5, 7, 11, 389, 33113] 23548
[3, 5, 7, 11, 389, 33119] 23500
[3, 5, 7, 11, 389, 33149] 23294
[3, 5, 7, 11, 389, 33151] 23277
[3, 5, 7, 11, 389, 33161] 23213
[3, 5, 7, 11, 389, 33179] 23088
[3, 5, 7, 11, 389, 33181] 23076
[3, 5, 7, 11, 389, 33191] 23009
[3, 5, 7, 11, 389, 33199] 22951
[3, 5, 7, 11, 389, 33203] 22924
[3, 5, 7, 11, 389, 33211] 22867
[3, 5, 7, 11, 389, 33223] 22781
[3, 5, 7, 11, 389, 33247] 22616
[3, 5, 7, 11, 389, 33287] 22354
[3, 5, 7, 11, 389, 33289] 22344
[3, 5, 7, 11, 389, 33301] 22268
[3, 5, 7, 11, 389, 33311] 22209
[3, 5, 7, 11, 389, 33317] 22168
[3, 5, 7, 11, 389, 33329] 22092
[3, 5, 7, 11, 389, 33331] 22083
[3, 5, 7, 11, 389, 33343] 22008
[3, 5, 7, 11, 389, 33347] 21978
[3, 5, 7, 11, 389, 33349] 21965
[3, 5, 7, 11, 389, 33353] 21942
[3, 5, 7, 11, 389, 33359] 21911
[3, 5, 7, 11, 389, 33377] 21803
[3, 5, 7, 11, 389, 33391] 21719
[3, 5, 7, 11, 389, 33403] 21640
[3, 5, 7, 11, 389, 33409] 21607
[3, 5, 7, 11, 389, 33413] 21579
[3, 5, 7, 11, 389, 33427] 21490
[3, 5, 7, 11, 389, 33457] 21332
[3, 5, 7, 11, 389, 33461] 21308
[3, 5, 7, 11, 389, 33469] 21263
[3, 5, 7, 11, 389, 33479] 21198
[3, 5, 7, 11, 389, 33487] 21149
[3, 5, 7, 11, 389, 33493] 21120
[3, 5, 7, 11, 389, 33503] 21063
[3, 5, 7, 11, 389, 33521] 20956
[3, 5, 7, 11, 389, 33529] 20907
[3, 5, 7, 11, 389, 33533] 20878
[3, 5, 7, 11, 389, 33547] 20802
[3, 5, 7, 11, 389, 33563] 20717
[3, 5, 7, 11, 389, 33569] 20683
[3, 5, 7, 11, 389, 33577] 20643
[3, 5, 7, 11, 389, 33581] 20621
[3, 5, 7, 11, 389, 33587] 20586
[3, 5, 7, 11, 389, 33589] 20578
[3, 5, 7, 11, 389, 33599] 20518
[3, 5, 7, 11, 389, 33601] 20506
[3, 5, 7, 11, 389, 33613] 20439
[3, 5, 7, 11, 389, 33617] 20413
[3, 5, 7, 11, 389, 33619] 20401
[3, 5, 7, 11, 389, 33623] 20384
[3, 5, 7, 11, 389, 33629] 20349
[3, 5, 7, 11, 389, 33637] 20313
[3, 5, 7, 11, 389, 33641] 20294
[3, 5, 7, 11, 389, 33647] 20259
[3, 5, 7, 11, 389, 33679] 20093
[3, 5, 7, 11, 389, 33703] 19964
[3, 5, 7, 11, 389, 33713] 19906
[3, 5, 7, 11, 389, 33721] 19878
[3, 5, 7, 11, 389, 33739] 19766
[3, 5, 7, 11, 389, 33749] 19718
[3, 5, 7, 11, 389, 33751] 19708
[3, 5, 7, 11, 389, 33757] 19673
[3, 5, 7, 11, 389, 33767] 19621
[3, 5, 7, 11, 389, 33769] 19612
[3, 5, 7, 11, 389, 33773] 19587
[3, 5, 7, 11, 389, 33791] 19502
[3, 5, 7, 11, 389, 33797] 19471
[3, 5, 7, 11, 389, 33809] 19413
[3, 5, 7, 11, 389, 33811] 19402
[3, 5, 7, 11, 389, 33827] 19327
[3, 5, 7, 11, 389, 33829] 19316
[3, 5, 7, 11, 389, 33851] 19218
[3, 5, 7, 11, 389, 33857] 19188
[3, 5, 7, 11, 389, 33863] 19158
[3, 5, 7, 11, 389, 33871] 19123
[3, 5, 7, 11, 389, 33889] 19030
[3, 5, 7, 11, 389, 33893] 19014
[3, 5, 7, 11, 389, 33911] 18936
[3, 5, 7, 11, 389, 33923] 18882
[3, 5, 7, 11, 389, 33931] 18842
[3, 5, 7, 11, 389, 33937] 18813
[3, 5, 7, 11, 389, 33941] 18788
[3, 5, 7, 11, 389, 33961] 18700
[3, 5, 7, 11, 389, 33967] 18668
[3, 5, 7, 11, 389, 33997] 18544
[3, 5, 7, 11, 389, 34019] 18440
[3, 5, 7, 11, 389, 34031] 18396
[3, 5, 7, 11, 389, 34033] 18385
[3, 5, 7, 11, 389, 34039] 18360
[3, 5, 7, 11, 389, 34057] 18277
[3, 5, 7, 11, 389, 34061] 18257
[3, 5, 7, 11, 389, 34123] 17992
